Username,sentiment_sum,tweet_count
0Vldiego,0.0,1
0x4C756B65,0.5,1
0xAkina,0.17045454545454544,1
0xBingo,-0.18888888888888888,1
0xDamien,0.0,1
0xEvan,0.0,1
0xKaikinu,1.7625,5
0xLGFG,0.25,1
0xNemissa,0.0,1
0xNeyroh,0.0,2
0xRetro,0.3375,1
0x_Yuzu,0.0,2
0xbloody,0.0,1
0xbrke,0.0,1
0xdjx,0.8999999999999999,7
0xmantra,0.3,1
0xrasi,0.5,1
0xslatt,2.504090909090909,18
0xthespaniard,0.0,1
100trillionfiat,0.3333333333333333,1
131990Singh,0.6,2
1990cm,-0.1,1
19crypto11,0.0,1
1dezas41,0.0,1
1st_leinad,0.6049479166666667,3
1stcryptoalerts,0.13636363636363635,1
20decAbhi,0.0,1
21M_7B,0.6666666666666666,1
24_ipp,0.0,1
2Bitcoins_ru,0.0,1
2D_HKH,0.0,1
33_boogie,0.20000000000000004,1
3BBC_DP,0.0,2
3GODDOG3,0.7,1
3foispere,0.0,1
3jeffquist,0.509090909090909,1
404PageWrong,-0.08333333333333333,2
49_cat,0.3333333333333333,1
4ctionJack,0.35,1
5dayoldburrito,0.0,1
777crypto777,0.375,3
7DeadlyAlways,-0.04583333333333334,1
7herwin,0.0,2
7thban,0.0,1
8onPropertyUK,0.8,1
90Kai,-0.15,1
91AlphaRomeo,0.0,1
9rypt4heep,0.0,1
A5_timeismagic,0.0,1
AASinfo98405,0.3,1
AELK00,0.5,1
AIRCOINS_App,0.265,2
AKA_Hondi,0.0,1
AMilochau,0.0,1
ANDREAMonetti,0.0,1
ARB5092,1.5625,4
ASarafanov,0.0,2
A_VerVal,0.0,1
Aamirshamim15,0.3,1
Aanandsolanki9,0.1,1
Aaron10759259,0.0,1
AazmeeS,0.0,1
AbbasAliyuIbra5,0.1,1
AbdulkerimUmut,0.0,1
Abel_Table,0.25,1
Abhinav18755615,0.019999999999999997,2
AbuTale37770057,0.0,1
AccountantInc,0.0481481481481482,1
Achim18304438,0.7,1
Adam50087112,0.45,3
AdamFletcher4,0.0,1
Ade_sweet82,0.3,1
Adel_Crypto,0.5,1
AdewvT2d6oiAIAd,0.0,2
AdnanMughul,0.3,1
AdrianAiod,1.0,1
Adrien62359032,0.0,1
Adtyfrayuda1,0.3,1
Advicks,-0.5,2
Afri33803108,0.3,1
AfricanArtNft,-0.44140625,6
AfroHodler,1.0,1
Afroo__,-0.5083333333333333,2
AftabChanna786,0.1,1
Ahroquu,-0.033333333333333326,1
AiazziDavide,0.4125,1
AidiaLady,0.1,1
AikonMishima,0.033333333333333326,3
AirdropBoss2,0.1,1
AirdropDig,-0.13333333333333333,1
AirdropO07,0.0,1
AirdropsBoY,0.0,2
AjayMaj60380573,0.3,1
AjeetRolaniya1,0.3,1
Ajeng2227,0.3,1
Ajileyedaniel3,0.3,1
AkangAngka,0.1,1
Akashpa54084313,0.1,1
AkbarShaber,0.1,1
Akije_Hirodi,0.0,1
AkshayG52496657,0.3,1
AlamedaRSearch,0.0,1
Alameeba,0.0,1
AlanK78,-0.1,1
Alberto56586630,0.049999999999999996,1
Albertot32,0.0,1
AlbingreA,1.0,1
AlchemistCrypto,0.0,1
Alegarap,-0.09722222222222222,1
AlexPingkian,0.536734693877551,2
AlexSchmidgal,0.2041666666666667,1
AlexanderCutts1,0.4,1
AlexanderTG777,0.0,1
AlexandreRaffin,0.0,1
AlfredBoleyn,-0.8,1
AlgoAlchemist,0.0,1
Ali131081,0.2,1
Ali33867855,0.4525669642857143,1
AliMathusginola,0.4809253246753247,6
AlienFX,1.5648082386363635,9
AllexUvo,0.3,1
Alma10910,0.1,1
Alois_Lx,0.0,1
AlparBandi,0.0,1
AlpharezCC,0.1,1
AltCentura,0.6875,3
Alt_Cash,0.8,1
Altentusiast,0.475,1
Alucard_eth,0.25,5
Aman245040,0.3,1
Ameba_NM,0.3,1
Amir_Sarkheil,0.2,1
AmranHo21735578,0.1,1
Amusefan1987,-0.21875,1
Anand69730660,0.1,1
AnazwinYounes,0.0,1
Andiwillcrypto,0.0,1
AndreWi88888,0.1,1
Angel_3_Sisters,0.0,1
Ankelssj,0.0,1
Anko1x,0.0,1
AnnaCar14780539,0.0,4
Anon2553,-0.30000000000000004,2
AnsariS87160348,0.8,1
AnthonyFabre16,0.0,1
AnthonyPerillat,0.5,1
AntoBechade,0.0,1
AntonNi82510497,-0.1,1
Antsinyour,0.0,1
Antzinpantz1,0.43333333333333335,1
AnupamS91090921,0.3,1
ApooTaro_,-0.8,1
ApyVision,0.1875,1
AriDomogato,-0.012500000000000011,1
Arilorena_pinto,0.0,2
ArinzeMacaulay,0.0,1
ArkInsight,0.0,1
ArmaldoBulla,0.0,1
Armineslami7,0.3,1
Arne212,0.35,1
Arnoboy,0.0,1
ArthurBrittoXRP,0.225,1
ArunaPrissilla,0.0,1
Aryan76397386,0.1,1
AshSellem,0.3,3
Ashikur03556462,0.6,2
Ashrafu62125123,0.2,2
Astrobot_nft,0.5,1
Asxbud,0.0,1
AvixSetyawan2,0.3,1
Axel_bitblaze69,0.8170454545454545,3
AyaKripto,0.0,1
AyiubHasan,0.3,1
Aymeric36717407,0.0,1
AzahCrypto,0.0,1
Azizul44564036,0.3,1
BC_Meister,0.0,1
BCryptocoin,0.0,2
BCryptodinero,0.0,4
BIGBELLYJUJU,0.09999999999999999,1
BIGJermitals,0.0,1
BITLOBOInvers,0.0,1
BORROBEATS,0.35,1
BRAIN080696,0.3,1
BTCTradeIdeas,0.0,1
BTC_Warboy,0.9472727272727273,2
BTCstJournal,0.011363636363636354,2
BTrencsenyi,0.0,1
B_positivibes,1.3866666666666667,5
BabyPips8,-0.1875,1
Badsha04396170,0.3,1
BakhtiarSohag,0.1,1
Balma322,0.2,2
BalouBAYC,0.012499999999999997,1
Bananabboat,0.28750000000000003,1
Baoshikawaowwa1,-0.18666666666666668,1
BarbariaFlavio,0.0,1
Baron_Polkamon,5.732272727272727,27
BasmaDeFiQueen,0.26666666666666666,2
BaubusJ,0.625,1
BeInCryptoTR,0.0,1
Behnaming,0.52,3
BenApparition,0.4535714285714285,4
Bencrypto8,0.0,1
BenderMac1,0.875,1
BennyboyCrypto,0.0,1
BertinusJohnson,-0.1349206349206349,1
BetsHoge,0.75,1
BiasGoose,0.5,1
BigPapiLoco1,0.25416666666666665,1
BiggieSmolTings,0.0,2
Bijan_eth,0.125,2
Bilaxy_exchange,0.0,1
Bio_b00,-0.7249999999999999,1
BishalBaidya15,0.3,1
BitBoxNews,0.8,1
BitDominator,0.75,2
BitGizmo,0.0,4
BitPickles,0.35,1
BitValley,0.0,1
Bitboy_Crypto,0.375,1
BitcoinCorgi,0.0,1
BitcoinInfoVIP1,0.0,1
BitcoinPablo,-0.5,1
Bitcoin_Beats,-0.2,2
BitsellX,0.5,1
BjWickz,0.0,1
BkkShadow,0.0,1
BlackMlih,0.8,1
Black_Wolf_LM,0.0,1
Blancucul,-0.125,1
Blbm92,0.4,1
BleuPervenche,0.0,1
BlockSpotlight,0.2833333333333333,1
BlockSwanHQ,0.16,1
Blockcastcc,-0.25,1
BlockchainMict,0.0,1
Blockchainsanta,0.6125,1
BlueDerpyfi,-0.3,1
Bluesplinter,0.0,1
BluntBlunt23,0.15416666666666667,1
BoriB10,0.0,1
BoulouhHichem,0.0,1
BrCointelegraph,0.0,1
Bradley24371385,0.0,1
Bradly92,0.0,1
BrandonColaiLy,0.0,1
BreadAndHodl,0.59375,2
BroekmanR,0.0,1
BrutaL97571544,0.0,1
Brutaljuice1,0.8,1
BryceWeiner,0.0,1
BtcJewel,0.1,1
Buck_Rooney,0.0,1
BuddyyNFT,0.7844246031746032,4
BuffaloTheBilly,0.0,1
BullMoonFinance,0.95,3
BullishWeeb,0.4930555555555556,2
Buodo9,0.0,1
BuyCryptoTech,1.0,1
Byrneinator,-0.18181818181818182,1
CBrotato,0.0,1
CCGcryptonews,0.0,1
CCY1028,0.4,1
CHlGBS,0.0,1
CIG_Invest,0.2,1
CMarafusta,0.15,1
COOTTHAKIDD,0.0,1
CPOfficialtx,0.25,1
CRYP70D15C0V3RY,0.54625,4
CRYPTOFUTURE019,0.0,1
CRYPTOUNITY4,0.0,1
CRYPTO_ECO1,0.1,1
CRivalrie,0.5,1
CSutherland,0.65,1
CTateRspec,0.78125,1
CTmovingforward,0.4,1
CTsubotan,0.0,1
CammyAmster,0.13636363636363635,1
CanBayrak33,0.0,2
CanesEDIT,-0.3,1
CaptainStax,0.0,1
Captngeorge1,0.0,1
CardanoSenor,0.0,1
Cardano_Girl,0.47500000000000003,1
Carlos28000279,0.0,3
CatchMeStacking,0.1875,2
CatzJerome,0.6500000000000001,3
Cebiindrianto16,0.1,1
Celina_Jay17,0.53125,2
Cem_Savas_Aydin,0.0,1
ChainLinkMunki,0.30000000000000004,1
ChainNewscom,0.0,1
Chakingo2,-0.5,1
CharlesHBucket,0.06000000000000001,2
ChartOverlord,0.1,1
Chartronics,0.8,1
CheshDoes,0.0,1
Chewbac48174442,0.21000000000000002,1
CheyserDream,0.28750000000000003,1
Chinneh10,0.5,1
ChloeRavyn,0.8666666666666667,1
ChrekAhmed,0.5,1
ChrisGrant_3,0.0,1
Christi14251411,0.0,1
Christo18672646,0.0,1
ChristoferHkan1,0.0,1
ChryptopherW,-0.625,2
Chung7210,0.1,1
Chyld,0.17825,1
CircuitoCripto,0.0,1
Cisco6733,0.5,1
ClintnfrmCryptn,0.0,1
ClubExposito,0.0,4
Codeflair1,0.125,1
CoderproJahangi,0.0,1
CodyBryantPhoto,0.9572172619047619,4
CoinAddicted,0.0,1
CoinCryptoFr,0.16666666666666666,1
CoinCyberpunk,0.0,1
CoinHydrogen,0.5666666666666667,4
CoinUp24,0.0,2
Coin_Shark,0.0,3
Cointelegraph,0.3,2
Cointrader1982,0.45,1
CoinzyCapital,0.4,1
CokeCarson,1.203125,5
ConceptRaps,0.0,3
ConvergeCrypto,0.5,1
CoopDville2000,0.25,1
CornBardSupreme,-0.45,1
CostasP6,0.0,1
CourtyLeo,0.0,1
CpTommo,0.0,1
Cr1stianLang,0.0,1
Crazyrudra1,-2.0,4
CrazzEth,0.0,1
CriptoMaps,0.0,1
CriptomonedaE,0.0,1
Criptomonedaico,0.0,1
CrypoFuture,0.0,1
CryptOffChillen,0.3125,1
CryptSouljah,0.0,1
Crypt_Analytics,0.0,2
Cryptix52847782,0.5347321428571429,4
Crypto447356096,0.0,1
Crypto88888,0.13636363636363635,1
CryptoActing,0.0,2
CryptoActuFr,0.0,1
CryptoB72383940,0.16666666666666666,1
CryptoBedouin9,0.0,1
CryptoByKsquare,0.0,2
CryptoCheckmat1,-0.25,2
CryptoDaku_,0.32883522727272724,2
CryptoDefiLord,-0.3,1
CryptoDiffer,0.28087121212121213,6
CryptoDocH,0.024999999999999998,1
CryptoDungeon,0.7379795725108225,13
CryptoElite_,0.375,1
CryptoEmre2020,0.0,1
CryptoEuclid,-0.2,1
CryptoFamilly,0.0,1
CryptoFasa,0.9750000000000001,1
CryptoFloki,-0.015624999999999944,4
CryptoFox69,0.25,1
CryptoFutures9,2.9161111111111113,9
CryptoGaryy,0.25,1
CryptoGemsCap,0.023333333333333324,1
CryptoGemsKing,0.13636363636363635,1
CryptoGenghisK,0.0,1
CryptoGlenn,0.36931818181818177,3
CryptoGreco,0.0875,1
CryptoGreggles,0.0,1
CryptoGuruIn,31.65736420325706,88
CryptoGuvna,-0.7333333333333333,2
CryptoGuyJacob,0.0,1
CryptoHawk19,0.9833035714285714,3
CryptoHermetic,0.8333333333333334,3
CryptoHitchiker,0.2857142857142857,1
CryptoHolder4,0.375,5
CryptoIlbh,0.875,7
CryptoJournaal,0.13636363636363635,1
CryptoKanda,0.4333333333333333,1
CryptoKeeper007,0.4,1
CryptoKingdomUK,1.1777777777777778,4
CryptoKnight3,0.0,1
CryptoKureo,0.125,1
CryptoLadiee,0.13333333333333333,1
CryptoLegend81,0.2,1
CryptoLouxy,0.25,1
CryptoM08829331,0.0,1
CryptoMANG,0.0,1
CryptoMamyy,0.0,2
CryptoMaxed,2.05,3
CryptoMeeseeks,0.25,2
CryptoMomo4,0.1333333333333333,1
CryptoMoney2021,0.0,1
CryptoNetDaily,1.1863636363636365,3
CryptoNewsKing,0.13636363636363635,1
CryptoNewswire,0.13636363636363635,2
CryptoNutrition,0.234375,1
CryptoOddish,0.1,2
CryptoPadrino,0.0,1
CryptoParrot2,0.0,1
CryptoPharaonix,1.0,2
CryptoPhishing,0.0,1
CryptoPlug2,0.0,1
CryptoPosiTVT,0.4125,1
CryptoPrices4U,-0.125,1
CryptoProfit200,0.1,1
CryptoRank_io,0.9440656565656564,5
CryptoRickNL,-0.25416666666666665,1
CryptoRoskoe,0.0,1
CryptoRusk0f,3.75,37
CryptoSamuelF,0.69,1
CryptoSchnoodle,0.5,1
CryptoSef,0.0,1
CryptoShull,0.18055555555555555,3
CryptoSithx,0.0,2
CryptoSquirrel6,0.2,1
CryptoStoner,0.0,1
CryptoSurrendr,-0.5,1
CryptoTiesK,0.575,2
CryptoTraderPro,0.8,5
CryptoVitus,0.5,2
CryptoWackadoo,0.0,1
CryptoWimpie,-0.04999999999999999,1
CryptoXieon,8.753243386243387,31
CryptoYak,0.5,5
Crypto_Amish,0.3125,1
Crypto_Banban,0.26666666666666666,1
Crypto_Chase,0.39999999999999997,1
Crypto_Craving,-0.25,1
Crypto_L00n,-0.23076923076923078,1
Crypto_Life10,0.13875,1
Crypto_Moon369,0.2,1
Crypto_Sammy_,1.2017045454545454,5
Crypto_Slug,-0.28409090909090906,1
Crypto_Tonight,0.2130681818181818,2
Crypto_jeffex,0.3,1
Cryptoartyst,0.0,1
CryptobeyM,0.5,1
Cryptoc41216539,0.0,1
Cryptocal4,-0.03888888888888889,1
Cryptocul1,0.0,1
