Username,sentiment_sum,tweet_count
0xBibew,0.3333333333333333,2
0xBoond,0.48750000000000004,1
0xLordApe,0.0,1
0xNeyroh,-0.35,9
0xOldToilet,0.0,1
0xRagis,0.0,1
0xSean_,0.0,1
0x_AndrewHo,0.0,1
0xkanye,0.0,1
0xslatt,0.13,1
10dynastyrich,0.4681818181818182,1
12Pwetti,0.0,1
13jujusam14,0.0,1
16Che1,0.0,1
19_cerealkiller,2.1768127705627704,8
33RPanchal,0.0,1
69fleex,0.0,1
6JCeNDoK66D4Ku6,0.5,1
777crypto777,0.0,1
84_gorka,0.0,1
ABHINAV15378203,0.0,1
ADAholics_Anon,0.5,1
ADonnySoldier,0.2166666666666667,1
AVIGIFS,-1.0,4
AW_1221,0.0,1
Abba641,0.13636363636363635,1
Abdulma46405893,0.0,2
Abir07196357,0.0,1
Abisahlan1,0.0,1
Abisoye130,0.0,1
AbyR45775365,0.0,1
AdibaHaque5,0.0,1
AdigunTope5,0.0,1
Adilpak58,0.0,1
Adit2002_,0.0,1
Adnansiddique2,0.4166666666666667,2
AdrienQuan,0.25,1
AfuyeMichael2,0.13636363636363635,1
Agusbirinkz1,0.0,1
Ahmadabod44,0.8,1
Ahmadreza2209,0.0,1
Ahroquu,0.0,1
AirdropBoss2,0.1,1
AjinkyaAwate2,0.0,1
Akinrinade_S,0.0,1
Akramilyas4141,0.0,2
Akshat95403967,0.0,1
Akterhossanrone,0.0,2
Albundy971,0.0,1
AldaHeryani,0.7525,1
AleFerr16,0.0,1
AlexHrmt,0.0,1
Alex_Lansky,-0.6666666666666666,1
AlexanderNapGeo,0.0,1
AlexeySvyatosl1,0.0,1
Alfa_Premier,-0.4,1
AlgoAlchemist,0.0,1
AliMathusginola,0.5491071428571428,8
Allanpatricksa7,0.13636363636363635,1
Alucard_eth,0.0,1
AmalRangika,0.0,2
AmarAnandviews,0.13636363636363635,1
AmazonBoredApe,-0.625,1
Amir34860770,0.0,1
AmirAli28072614,0.06666666666666667,2
AmitGup43274188,0.0,1
AmitTri11073002,0.13636363636363635,1
Amrani322,0.0,1
AmruthananthaR,0.0,1
AnalizICO,0.0,1
Anbu34635196,0.0,1
AndBlueWool,0.13749999999999998,2
AndreaHelmy,0.0,1
Ankelssj,1.0142857142857142,2
Annie05932864,0.6,1
AntoBechade,0.0,1
Anton78809676,0.0,1
Antonio55751778,0.25,1
Antzinpantz1,0.0,1
Anulka1990,0.0,2
Anuragm70957212,0.4,3
Apedignio,0.3,3
Argento31454277,3.1125,6
Arjun774242,0.0,1
Arkiro4,0.0,1
ArmanHusin2,0.4166666666666667,1
ArnaudBergBE,0.0,1
Arthemort,-0.20384615384615382,1
Arthur_Podevin,0.0,1
Arthurws14,0.0,1
Arun86127390,0.13636363636363635,1
Asapdebruyne,0.0,1
AsfanMulla1,0.13636363636363635,1
AsgarNft,0.0,1
Ashkanmm2,0.5,1
Ashok9337,0.13636363636363635,1
Asif7613,0.0,1
AsterGaming6,0.0,1
AtsMauricette,0.0,1
AtulShepherd,0.0,1
AustinDoge123,0.0,3
AvaPistah,0.9375,1
AxelCcpr,0.0,2
Axel_bitblaze69,0.3,1
Axelisonfire_,0.0,1
Ay_dammz,0.0,1
Ayaz66881845,0.0,1
Ayiesha777,0.14285714285714288,1
AymDevWeb,0.0,1
AyokomiO,0.0,1
Aysha0341,0.0,1
AyushMishra052,0.13636363636363635,1
Azimkha50988779,0.0,1
AzizSergStan,-0.2,2
Azkatsaniy1,0.0,1
B4LLchinnian,0.3857142857142857,1
BOOGY54389193,0.0,1
BTPZ7,0.0,1
B_IvanR,0.0,1
BabadiDariush,0.0,1
Baha02504019,-0.6499999999999999,1
Bambini_bet,0.0,1
BaptisteLinet,0.0,1
BaqirAl74125961,0.0,1
BarnacleOptique,0.5,1
Baron_Polkamon,12.632601731601731,65
Behzad65300575,0.0,1
Ben05724855,-0.75,1
Bencrypto8,0.0,2
BenderMac1,0.825,2
Benj_lp,0.0,1
BeyDex_,0.0,4
Bhavesh35020007,0.0,1
BibiFrt,0.0,2
Bigsam_ea,0.0,1
BillyBoyDav,0.0,1
Bilnaze_,0.0,1
BitBoxNews,0.0,1
BitcoinBombo,0.0,1
BitcoinGhetto,0.0,1
BitcoinHood,0.19486111111111115,4
BlockCrooks,0.25,2
BogdanBozhinov,1.0,1
BoofBingleton,0.13333333333333333,1
BoxSanctuary,0.17045454545454544,1
Brandonio42,-0.25,1
BraveOffal,0.0,1
Breakit7,0.0,1
BreizhMonster,0.0,1
BrekkeHermann,0.0,1
BrettAlvarado13,-0.2578125,1
BrookesSophie1,0.0,1
BukanDewa12,0.0,1
CFCbaskem,0.0,1
CGuy2022,-0.15,1
CMxnxcxnx,0.0,2
CapJulien,0.5,1
CaptainCardano,-0.4,1
CaptainEtnio,0.0,1
CarolaSosa16,0.0,1
CatCet3,-0.9099999999999998,1
CaveatCrypto,0.375,1
CediBu,0.375,2
ChHiu79105597,0.0,1
ChadracSaizonou,0.0,1
Chandan96150855,0.0,3
ChesterEric6,0.13316761363636362,1
ChrisB3Z,0.0,1
ChristianPliso,-0.375,3
ChuDucQuan4,0.0,2
CitadelsLord,0.0,1
ClmentSCHAEFFE1,0.0,1
Cnab90199141,0.0,2
Cocoollito,0.0,1
CoinHydrogen,1.5916666666666666,4
Coin_Gossip,0.8,2
Coinight,0.5,1
Conqu3rix,0.0,1
CoolGD101,0.0,1
Coorre,0.0,1
CriptoRoberto,0.0,1
CroissanceTurk,0.0,1
CrtLaurent,0.0,1
Crypt0_kenny,0.2,1
Cryptholicx,0.0,1
CrypticShail,0.0,1
Crypto0h,0.5,1
CryptoAlien17,0.125,1
CryptoBK_,0.25,2
CryptoBusy,0.0,1
CryptoDefiBoss,0.0,2
CryptoDiffer,0.5,1
CryptoE95991110,0.35714285714285715,1
CryptoFlow16,0.0,1
CryptoFutures9,0.0,1
CryptoGaryy,0.0,3
CryptoGeorg,1.2190104166666667,2
CryptoGramps1,0.0,1
CryptoGuruIn,1.889795918367347,5
CryptoIA_2020,0.25833333333333336,1
CryptoIlbh,0.0,3
CryptoJ61370148,-0.03125,1
CryptoJournaal,0.0,1
CryptoLeven,0.6142857142857143,4
CryptoM35524784,0.0,1
CryptoMyLove1,0.0,1
CryptoNoodlSoup,0.0,1
CryptoNotML,0.4,1
CryptoPennPeul,0.0,1
CryptoPointFR,0.0,1
CryptoPrestito,-0.020182291666666685,1
CryptoR74268799,0.8,1
CryptoRank_io,0.375,1
CryptoRusk0f,1.2462301587301587,22
CryptoSatoshi87,0.0,1
CryptoSithx,0.10000000000000003,1
CryptoSmiley,0.0,1
CryptoSphere10,1.0,1
CryptoTripathi,-0.19999999999999998,1
CryptoXieon,0.7068253968253969,11
Crypto_AcidBurn,0.0,1
Crypto_Chic_,0.3125,1
Crypto_Chimpy,0.13636363636363635,1
Crypto_Sammy_,0.5,1
Crypto_Surfin,0.0,1
Crypto_Teddy,0.1891428571428571,1
Crypto_n_Canna,0.0,1
CryptobabaYODA,0.5428571428571429,1
CryptobenderNFT,0.0,1
Cryptoboy888,0.0,1
Cryptocurious98,-0.07645743145743147,1
CryptonicsHI,0.0,1
Cryptos_Hunter,0.4,1
Cryptutorial_JK,0.0,1
CurrencyTimes,0.0,1
CypherGlaze,0.1517857142857143,1
CyprainEmmanuel,0.0,1
DJ36656018,0.0,1
DMcrypto_,0.0,1
DOTHILUA3,0.0,1
DRN721EN612hMg7,0.0,2
Dadolargent,0.0,1
DaftPump_BSC,0.0,1
Daidriana8,0.0,3
DamlusFashion,0.13636363636363635,1
DanaYou37238794,1.0,1
DanangARSPBW,0.0,1
Dansmxge,0.0,1
DarkRecks,0.0,1
DarrenSquires,0.17045454545454544,1
Dav50482152,0.0,1
DaveKolpak,0.0,1
DeFiShokunin,1.0,1
DeKa2404,0.3,2
DeckMorban,0.15,1
Deepblue1313,0.25,1
Deeppower7,0.0,1
Definews_Info,0.5,1
DegenLordy,-0.5,1
Deivida85912068,0.25,1
DieseMC,0.0,1
Dildar_hussain0,0.0,1
DinoMax41808607,0.0,1
Dishant_06,0.0,1
DixiitBGG,0.3,6
DjangoCryptox,0.0,2
Djdustin8,0.09444444444444444,1
DoctorLxiii,0.75,1
DoffyWest,0.0,1
DoitrandLucas,0.0,1
Don57997297,0.0,1
DonJack34776936,0.65,1
DonNufc09,0.0,1
Don_Kingy,0.0,1
Donato50156146,1.0,1
Donpizzy007,0.0,1
Draven4lifexd,0.0,1
Dreadend,0.5666666666666667,1
DrixKC,0.0,1
DropRolls,0.0,1
Dtective9,0.0,1
DylanWh40446069,0.45,1
EAJT02,-0.27083333333333337,3
EGLDIsTheWay,-0.09,1
EPJagadishPras1,0.0,1
ElGuapo292,0.0,1
ElPadreDeimos,1.7625,10
EliasKevin11,0.5,1
EmerieOnoh,0.0,1
EndTheEU,0.6,1
EngrWaqasKamboh,0.0,1
EricMal9,0.0,1
ErwanBsq,0.0,1
Erwan_nfa,0.0,2
EtimOyoIta,0.0,1
Evan_0320,0.0,1
F00879,0.0,1
FLACORABIA,0.0,4
FTMDiamondHands,0.0,1
FabienD67920783,0.0,1
Faim2G,0.0,1
Fakk2,0.7281250000000001,3
Fallen21100,0.0,4
FarmingSats,-0.8,2
FarukKh71072875,0.0,1
Fazzu16,0.0,1
FelderJab,0.15,1
FibSpins,0.4375,1
FidelGastro_07,0.0,1
FinanceAndFree1,0.0,1
Firmans51858927,0.0,1
Flocryptom,0.0,3
FonchaBen,0.0,1
FortWayneMusic_,0.9252164502164502,4
FranckF94200,0.5,1
Freya_ct,2.1227777777777774,4
FrolTabo,0.0,1
FsnAngelo,0.0,1
GCryptoBen,0.25,1
GEMinitrades_,0.0,1
GU1GU1X1,0.125,3
GYCmCVN7U1pAZZV,0.0,1
GabrielMichien1,-0.05,1
GainsAssociates,0.34022727272727277,1
Gajurman1,0.0,1
GallicGems,0.0,1
Gator2Crypto,0.175,1
Gaurav801110,0.13636363636363635,1
Gem_Packer,0.0,1
GenoMagician,-0.4375,1
GergelyDer,0.49999999999999994,1
GermanSatoshi,0.0,1
Gianluc51819107,0.0,1
GiftManOfficiel,0.0,2
GiufaO,0.0,2
Giusepp23198453,0.1871875,1
Gkhan17754000,0.0,1
GoldMetalSonic,0.0,1
GoodValueCrypto,0.625,2
Gourang68723073,0.0,1
GreenRoc,0.15625000000000006,1
GressentL,0.0,1
Gulshan25676093,0.0,1
GunawanGatot1,0.0,1
HOLOCHAIN4,0.0,1
Halil41171833,-0.15555555555555559,1
Hariharan49,-0.32499999999999996,1
HashHas42,-0.75,1
HauptJayme,0.0,1
HecurlesU,2.0,2
HeftyCrypto,0.2,1
Heksii1,0.8178571428571428,5
Hemsaga29190212,0.0,1
